\id PRO
\c 11
\level phrase
3.925	6.131	1a
6.131	8.407	1b
8.407	9.396	1c
9.396	11.179	1d
11.179	12.4	1e
12.4	13.496	2a
13.496	14.769	2b
14.769	15.561	2c
15.561	16.625	2d
16.625	18.287	2e
18.287	19.63	3a
19.63	21.473	3b
21.473	22.33	3c
22.33	26.86	3d
26.86	28.701	4a
28.701	30.51	4b
30.51	31.455	4c
31.455	34.177	4d
34.177	35.852	4e
35.852	37.556	5a
37.556	40.203	5b
40.203	41.222	5c
41.222	42.033	5d
42.033	44.434	5e
44.434	46.775	6a
46.775	48.429	6b
48.429	49.215	6c
49.215	50.235	6d
50.235	53.446	6e
53.446	55.187	7a
55.187	57.193	7b
57.193	57.857	7c
57.857	61.514	7d
61.514	64.785	8a
64.785	65.585	8b
65.585	66.712	8c
66.712	68.081	8d
68.081	70.168	9a
70.168	72.843	9b
72.843	73.771	9c
73.771	74.627	9d
74.627	75.598	9e
75.598	77.014	9f
77.014	79.28	10a
79.28	81.925	10b
81.925	83.492	10c
83.492	86.074	10d
86.074	88.317	11a
88.317	89.904	11b
89.904	90.931	11c
90.931	92.477	11d
92.477	93.986	11e
93.986	95.198	12a
95.198	98.87	12b
98.87	100.738	12c
100.738	101.513	12d
101.513	102.981	12e
102.981	106.914	13a
106.914	108.073	13b
108.073	110.054	13c
110.054	111.986	13d
111.986	113.866	14a
113.866	115.552	14b
115.552	116.575	14c
116.575	118.489	14d
118.489	119.795	14e
119.795	122.099	15a
122.099	123.626	15b
123.626	125.196	15c
125.196	126.971	15d
126.971	127.891	15e
127.891	129.257	15f
129.257	131.526	16a
131.526	132.644	16b
132.644	134.632	16c
134.632	135.913	16d
135.913	138.102	17a
138.102	139.014	17b
139.014	140.11	17c
140.11	141.427	17d
141.427	143.134	17e
143.134	144.333	18a
144.333	145.51	18b
145.51	146.592	18c
146.592	147.4	18d
147.4	150.58	18e
150.58	152.001	19a
152.001	153.227	19b
153.227	154.117	19c
154.117	157.035	19d
157.035	158.39	20a
158.39	160.201	20b
160.201	161.33	20c
161.33	161.768	20d
161.768	163.911	20e
163.911	165.431	21a
165.431	167.281	21b
167.281	168.207	21c
168.207	170.012	21d
170.012	171.035	21e
171.035	172.39	22a
172.39	174.087	22b
174.087	175.413	22c
175.413	177.89	22d
177.89	179.706	23a
179.706	180.432	23b
180.432	181.518	23c
181.518	183.69	23d
183.69	184.882	23e
184.882	186.108	23f
186.108	187.214	24a
187.214	189.178	24b
189.178	190.15	24c
190.15	191.511	24d
191.511	193.62	24e
193.62	195.468	24f
195.468	197.11	25a
197.11	198.251	25b
198.251	198.983	25c
198.983	200.487	25d
200.487	201.435	25e
201.435	202.852	25f
202.852	203.857	26a
203.857	205.515	26b
205.515	207.061	26c
207.061	208.185	26d
208.185	209.875	26e
209.875	211.793	26f
211.793	212.981	27a
212.981	214.938	27b
214.938	216.221	27c
216.221	217.198	27d
217.198	218.547	27e
218.547	220.116	27f
220.116	222.66	28a
222.66	224.33	28b
224.33	225.205	28c
225.205	226.247	28d
226.247	228.92	28e
228.92	230.493	28f
230.493	231.922	29a
231.922	233.232	29b
233.232	235.524	29c
235.524	236.439	29d
236.439	238.675	29e
238.675	240.5	30a
240.5	242.056	30b
242.056	243.437	30c
243.437	244.681	30d
244.681	246.97	31a
246.97	248.523	31b
248.523	251.454	31c
251.454	255.74	31d
