\id AMO
\c 5
\level verse
7.696	13.060	1
13.060	22.358	2
22.358	37.885	3
37.885	44.152	4
44.152	56.742	5
56.742	71.381	6
71.381	77.570	7
77.570	98.897	8
98.897	107.495	9
107.495	114.000	10
114.000	136.008	11
136.008	152.556	12
152.556	159.496	13
159.496	171.028	14
171.028	183.972	15
183.972	200.495	16
200.495	210.237	17
210.237	222.341	18
222.341	235.968	19
235.968	244.525	20
244.525	251.746	21
251.746	266.263	22
266.263	273.498	23
273.498	280.588	24
280.588	290.011	25
290.011	301.803	26
301.803	306.803	27
