\id PSA
\c 128
\level phrase
2.24	2.66	s1
2.66	2.83	1a
2.83	2.98	1b
2.98	3.55	1c
3.55	3.86	1d
3.736	4.65	1e
4.65	5.32	1f
5.32	5.79	2a
5.79	6.12	2b
6.12	6.44	2c
6.44	6.48	2d
6.48	6.85	2e
6.85	7.53	2f
7.384	8.55	2g
8.55	8.62	3a
8.62	9.16	3b
9.16	9.52	3c
9.52	9.93	3d
9.93	11.05	3e
11.05	11.46	3f
11.332	12.17	4a
12.17	12.56	4b
12.56	12.98	4c
12.98	13.1	5a
13.1	13.85	5b
13.85	14.17	5c
14.17	14.75	5d
14.75	15.15	6a
15.15	15.43	6b
15.43	15.75	6c
15.75	16.42	7a
16.272	16.73	7b
16.73	17.22	7c
17.22	17.41	7d
17.41	17.59	8a
17.59	18.04	8b
18.04	18.24	8c
18.013	18.45	8d
18.45	18.5	9a
18.5	18.59	9b
18.59	19.03	9c
19.03	19.35	9d
19.35	19.41	9e
19.41	19.65	9f
19.409	19.79	9g
19.596	20.2	10a
20.2	20.62	10b
20.62	20.84	10c
20.594	20.9	10d
20.9	21.26	10e
21.26	21.3	11a
21.3	21.39	11b
21.39	22.04	11c
22.04	22.77	11d
22.54	23.34	11e
23.107	24.47	11f
24.233	25.3	11g
25.3	26.03	12a
25.786	26.44	12b
26.44	28.0	12c
27.848	28.5	12d
28.5	28.89	13a
28.89	29.26	13b
29.26	30.3	13c
30.3	31.07	13d
31.07	31.54	13e
31.393	31.77	14a
31.77	32.06	14b
32.06	32.63	14c
32.63	33.03	14d
33.03	33.87	14e
33.87	34.33	15a
34.11	35.31	15b
35.118	35.99	15c
35.99	36.37	15d
36.37	36.73	15e
36.73	36.89	15f
36.65	37.34	16a
37.34	37.95	16b
37.701	38.88	16c
38.88	39.7	16d
39.7	40.2	16e
40.2	40.59	16f
40.345	41.25	16g
41.25	41.62	16h
41.62	41.92	16i
41.92	42.26	17a
42.26	42.73	17b
42.57	43.67	17c
43.67	44.1	17d
44.1	44.47	17e
44.47	44.75	17f
44.75	45.55	18a
45.55	45.96	18b
45.96	46.31	18c
46.31	46.63	18d
46.63	47.06	18e
46.846	47.57	18f
47.392	48.03	19a
48.03	48.58	19b
48.58	49.09	19c
49.09	49.39	19d
49.39	49.89	19e
49.89	50.5	19f
50.5	50.98	20a
50.98	51.41	20b
51.261	52.55	20c
52.55	52.95	20d
52.95	54.43	20e
